player_id,goals,red_cards,player_club_id,competition_id,matches
5668,2,0,"1041,6195,289","FRCH,FR1,EL,IT1,CIT,GB1,FAC",70
5672,7,0,"415,855",FR1,194
5676,1,0,14171,FR1,103
5680,6,0,595,FR1,37
5686,0,0,969,"FR1,CL",64
5687,0,1,"826,2727","FR1,BE1",61
5688,0,0,128,GR1,7
5698,13,0,14171,FR1,87
5712,3,0,1091,"ELQ,GR1,GRP",27
5755,6,0,"252,416","CIT,IT1,ELQ,EL",232
5768,0,0,"430,252",IT1,10
5782,32,2,"13,36,6890","USC,EL,ES1,CDR,TR1,CLQ,ELQ",220
5793,2,0,"410,416","CLQ,IT1,EL,CIT",68
5794,9,0,"2698,3368","RUSS,ES1,CDR,EL",28
5812,0,0,398,"IT1,CIT",11
5817,16,0,506,"SCI,IT1,CL,CIT,EL",123
5818,1,0,"5,430","IT1,CL,CIT,ELQ,EL",55
5825,43,1,"252,12,379,4102,800,1390,2722","IT1,GB1,CIT",132
5854,0,0,"252,20","CIT,IT1,ELQ,TR1",66
5856,0,1,"5,1050","IT1,CL,CIT,EL,ES1,CDR",112
5858,2,2,"6195,6574","SCI,IT1,EL,CIT,ELQ",159
5868,5,0,"416,6574,1025,749","CIT,IT1",108
5870,3,0,"458,276,2999","CIT,IT1,SC1,SFA",98
5873,2,0,"130,1038","IT1,CIT",67
5878,45,0,"252,1025,430,458,749,2921","CIT,IT1",142
5879,11,0,1147,FR1,37
5880,0,0,"6195,12,162","SCI,IT1,CIT,EL,CL,CLQ,FR1",125
5881,0,0,354,BE1,6
5889,0,1,"800,252,6574","CIT,IT1",49
5890,5,0,1627,"CIT,IT1",46
5892,2,0,678,"DK1,ELQ,DKP",40
5893,5,0,"410,862","CLQ,IT1,EL,CIT,ELQ",94
5896,4,1,430,"CIT,IT1,ELQ,EL",110
5908,0,0,430,IT1,1
5917,0,0,273,FR1,4
5922,2,0,12,"IT1,CIT",17
5925,3,2,1627,"CIT,IT1",48
5928,35,1,862,"CIT,IT1",166
5936,0,0,"3037,2921","CIT,IT1",14
5938,3,0,46,"ELQ,EL,IT1,CIT",37
5942,0,0,415,FR1,37
5946,2,0,"252,416,2921","IT1,ELQ,EL,CIT",94
5947,16,4,12,"IT1,CIT,CL,EL,CLQ",225
5948,0,0,252,IT1,4
5957,21,1,"430,336,2921,6574,472","IT1,CIT,ELQ,EL,CLQ,PO1,POCP,ES1,CDR",183
5958,38,1,12,"IT1,CIT,CL,EL",145
5962,29,0,"46,130,1038","IT1,ELQ,EL,CIT",120
5966,0,0,"398,524,42","IT1,TR1,L1",34
5967,0,1,"1506,4750","TR1,PO1",30
5970,3,0,862,"CIT,IT1",162
5974,1,0,"252,276",IT1,43
5976,0,0,862,"CIT,IT1",32
5980,59,0,"430,276","IT1,CIT",128
5986,0,0,"416,276","IT1,CIT",3
5993,3,1,"130,5,4102","IT1,CIT,CL",62
6004,2,0,8970,IT1,20
6012,2,0,"800,1429","CIT,IT1",74
6020,4,0,749,"CIT,IT1",28
6026,3,0,"398,46","IT1,CIT",18
6031,68,0,410,"CLQ,IT1,EL,CIT,ELQ",139
6033,16,1,"1627,252,130,410","CIT,IT1",115
6043,18,0,398,"ELQ,IT1,EL,CIT",98
6046,1,0,"2921,252",IT1,20
