player_id,name,position,sub_position,country_of_citizenship,image_url,goals,assists,red_cards,player_club_id
531824,Kike Hermoso,Defender,Centre-Back,Spain,https://img.a.transfermarkt.technology/portrait/header/531824-1753989362.jpg?lm=1,0.0,0.0,0.0,0.0
531825,Sergio Benito,Attack,Centre-Forward,Spain,https://img.a.transfermarkt.technology/portrait/header/531825-1676232048.png?lm=1,0.0,0.0,0.0,1.0
531829,Dani Escriche,Attack,Centre-Forward,Spain,https://img.a.transfermarkt.technology/portrait/header/531829-1662972614.png?lm=1,2.0,1.0,1.0,2.0
531835,Zorhan Bassong,Midfield,Central Midfield,Canada,https://img.a.transfermarkt.technology/portrait/header/531835-1771760813.jpg?lm=1,0.0,0.0,0.0,0.0
531840,Elvis Bwomono,Defender,Centre-Back,Uganda,https://img.a.transfermarkt.technology/portrait/header/531840-1757767345.jpg?lm=1,0.0,2.0,0.0,2.0
531873,Mladjan Stevanovic,Midfield,Central Midfield,Serbia,https://img.a.transfermarkt.technology/portrait/header/531873-1747405337.JPG?lm=1,0.0,0.0,0.0,0.0
531890,Uros Stojanovic,Defender,Left-Back,Serbia,https://img.a.transfermarkt.technology/portrait/header/531890-1665503118.JPG?lm=1,0.0,0.0,0.0,0.0
531909,Jordan Gele,Attack,Centre-Forward,France,https://img.a.transfermarkt.technology/portrait/header/531909-1721802280.png?lm=1,0.0,0.0,0.0,0.0
531916,Pedro Henrique,Attack,Centre-Forward,Brazil,https://img.a.transfermarkt.technology/portrait/header/531916-1572342801.jpg?lm=1,5.0,1.0,1.0,1.0
531925,Hektor Højbjerre-Thomsen,Midfield,Attacking Midfield,Denmark,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
531927,Mads Søndergaard,Midfield,Central Midfield,Denmark,https://img.a.transfermarkt.technology/portrait/header/531927-1763565985.jpg?lm=1,11.0,3.0,0.0,1.0
531949,Ignatius Ganago,Attack,Centre-Forward,Cameroon,https://img.a.transfermarkt.technology/portrait/header/531949-1740678544.jpg?lm=1,27.0,9.0,0.0,3.0
531957,Cody Drameh,Defender,Right-Back,England,https://img.a.transfermarkt.technology/portrait/header/531957-1633425778.png?lm=1,0.0,0.0,0.0,1.0
